2021-02-01 15:56:33 |ERROR |JavaFX Application Thread |SqlController.java:284 |com.zlimbo.zcat.controller.SqlController |You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FORM invoice' at line 1
2021-02-01 21:31:39 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2021-02-01 21:31:39 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 21:32:10 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: password is wrong
2021-02-01 21:32:10 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 21:33:13 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: password is wrong
2021-02-01 21:33:13 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 21:33:37 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: password is wrong
2021-02-01 21:33:37 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 21:37:28 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: password is wrong
2021-02-01 21:37:28 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 21:37:57 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: password is wrong
2021-02-01 21:37:57 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 21:44:43 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: password is wrong
2021-02-01 21:44:43 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 21:51:23 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:51:37 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:52:01 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:52:15 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:52:21 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:52:27 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:52:33 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:53:16 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:54:05 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:56:04 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 21:57:55 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 22:03:29 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 22:12:21 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |contract and table have existed!
2021-02-01 22:12:39 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 22:13:29 |ERROR |JavaFX Application Thread |SqlController.java:284 |com.zlimbo.zcat.controller.SqlController |Table 'ouyeel.invoice111' doesn't exist
2021-02-01 23:17:11 |ERROR |JavaFX Application Thread |SqlController.java:153 |com.zlimbo.zcat.controller.SqlController |database connect fail: password is wrong
2021-02-01 23:17:11 |ERROR |JavaFX Application Thread |SqlController.java:181 |com.zlimbo.zcat.controller.SqlController |null
2021-02-01 23:34:15 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 23:35:31 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 23:36:10 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 23:38:17 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
2021-02-01 23:38:41 |ERROR |JavaFX Application Thread |SqlController.java:217 |com.zlimbo.zcat.controller.SqlController |deploy error when creating table,please try again!
