2020-12-30 09:18:32 |DEBUG |JavaFX Application Thread |Main.java:26 |com.zlimbo.zcat.Main |[start] start
2020-12-30 09:18:32 |DEBUG |JavaFX Application Thread |MainWindowController.java:82 |com.zlimbo.zcat.controller.MainWindowController |[initialize] start
2020-12-30 09:18:32 |DEBUG |JavaFX Application Thread |SqlController.java:131 |com.zlimbo.zcat.controller.SqlController |[SqlControl] start
2020-12-30 09:18:32 |DEBUG |JavaFX Application Thread |SqlController.java:144 |com.zlimbo.zcat.controller.SqlController |database url: jdbc:mysql://192.168.6.108:3100/ouyeel?useSSL=false&useUnicode=true&characterEncoding=UTF8&serverTimezone=GMT&allowPublicKeyRetrieval=true
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |SqlController.java:156 |com.zlimbo.zcat.controller.SqlController |[SqlController] end
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |MainWindowController.java:494 |com.zlimbo.zcat.controller.MainWindowController |[showDatabase] start
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |SqlController.java:165 |com.zlimbo.zcat.controller.SqlController |[sqlShowTables] start
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |SqlController.java:173 |com.zlimbo.zcat.controller.SqlController |table: invoice
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |SqlController.java:191 |com.zlimbo.zcat.controller.SqlController |[sqlShowTables] end
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |MainWindowController.java:531 |com.zlimbo.zcat.controller.MainWindowController |[showDatabase] end
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |MainWindowController.java:109 |com.zlimbo.zcat.controller.MainWindowController |[initialize] end
2020-12-30 09:18:33 |DEBUG |JavaFX Application Thread |Main.java:35 |com.zlimbo.zcat.Main |[start] end
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:513 |com.zlimbo.zcat.controller.MainWindowController |[handle] start

2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:527 |com.zlimbo.zcat.controller.MainWindowController |[handle] end
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:513 |com.zlimbo.zcat.controller.MainWindowController |[handle] start

2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:517 |com.zlimbo.zcat.controller.MainWindowController |item name: invoice
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:118 |com.zlimbo.zcat.controller.MainWindowController |[showTable] start
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:618 |com.zlimbo.zcat.controller.MainWindowController |[addTab] start [tabName = invoice]
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:622 |com.zlimbo.zcat.controller.MainWindowController |[addTab] end
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:602 |com.zlimbo.zcat.controller.MainWindowController |[tabAddContextMenu] start [tabName = invoice]
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:608 |com.zlimbo.zcat.controller.MainWindowController |[tabAddContextMenu] end
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:184 |com.zlimbo.zcat.controller.MainWindowController |[executeSqlAndShowTableView] start
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:185 |com.zlimbo.zcat.controller.MainWindowController |sql: SELECT * FROM invoice
2020-12-30 09:18:36 |DEBUG |JavaFX Application Thread |MainWindowController.java:214 |com.zlimbo.zcat.controller.MainWindowController |Query!
